Symbol,Interval,Hurst Exponent,Deviation,Average Volume,Data Points
GD,1d,0.5641474142358734,0.06414741423587345,1249308.9255136442,15721
JNJ,1d,0.5629331584773555,0.06293315847735548,5664509.78849946,15721
ED,1d,0.5552498538963897,0.0552498538963897,834552.0648177597,15721
KO,1d,0.5528735460421335,0.05287354604213346,9250406.988932002,15721
PG,1d,0.5506621056692405,0.050662105669240454,5083021.79307932,15721
GE,1d,0.5421886714332625,0.04218867143326255,5168734.56828446,15721
IP,1d,0.45846650221062996,0.041533497789370044,1923382.64168946,15721
MMM,1d,0.5401762490046691,0.040176249004669096,2388801.9947204376,15721
XOM,1d,0.5401364488277657,0.04013644882776568,9455608.419884231,15721
DIS,1d,0.5385146105174135,0.03851461051741345,6440343.112142993,15721
DTE,1d,0.5370828092214065,0.0370828092214065,578155.4670186375,15721
MSI,1d,0.5360594462020861,0.03605944620208612,1972656.7569493034,15721
CAT,1d,0.5347008622264268,0.034700862226426765,3099532.1915272567,15721
BA,1d,0.5322953765019884,0.03229537650198844,3627574.139431334,15721
MO,1d,0.5273975468659505,0.02739754686595053,6755671.358564977,15721
KR,1d,0.5273566851047822,0.027356685104782175,4511966.81184403,15721
MRO,1d,0.4741524402928927,0.02584755970710728,5395238.51135424,15721
IBM,1d,0.5234126341213191,0.02341263412131911,5084078.93988932,15721
CVX,1d,0.5232203619358903,0.023220361935890277,4019915.013103492,15721
HON,1d,0.5186660176507816,0.018666017650781574,2028675.595381973,15721
HPQ,1d,0.5162074992851574,0.016207499285157412,14448424.397175752,15721
AEP,1d,0.48892283831005084,0.011077161689949155,1143995.9382354813,15721
CNP,1d,0.5077719065480863,0.007771906548086349,1628889.8874117422,15721
MRK,1d,0.5481534432119433,0.04815344321194326,6760095.923664122,15720
RTX,1d,0.5366462292603374,0.03664622926033745,4453111.989526121,15658
MCD,1d,0.56378855422855,0.06378855422855001,4273567.704442617,14586
PEP,1d,0.5664651282287257,0.06646512822872574,4156657.337219936,13122
ETN,1d,0.5648637476771001,0.06486374767710013,1607180.5577655844,13122
LLY,1d,0.5581346017797958,0.05813460177979579,3254594.209343088,13122
ETR,1d,0.5363374904057681,0.03633749040576806,816234.5306355739,13122
DE,1d,0.5324277000936514,0.03242770009365137,2284272.727556775,13122
PFE,1d,0.5241107949377032,0.024110794937703184,19651458.547706142,13122
EMR,1d,0.5232306694773452,0.0232306694773452,2271599.5829903977,13122
